episode_id,title,air_date,month_name
1,A Walk in the Woods,January 11 1983,January
2,Mount McKinley,January 11 1983,January
3,Ebony Sunset,January 18 1983,January
4,Winter Mist,January 25 1983,January
5,Quiet Stream,February 1 1983,February
6,Winter Moon,February 8 1983,February
7,Autumn Mountains,February 15 1983,February
8,Peaceful Valley,February 22 1983,February
9,Seascape,March 1 1983,March
10,Mountain Lake,March 8 1983,March
11,Winter Glow,March 15 1983,March
12,Snowfall,March 22 1983,March
13,Final Reflections,March 29 1983,March
14,Meadow Lake,August 31 1983,August
15,Winter Sun,September 7 1983,September
16,Ebony Sea,September 14 1983,September
17,Shades of Gray,September 21 1983,September
18,Autumn Splendor,September 28 1983,September
19,Black River,October 5 1983,October
20,Brown Mountain,October 12 1983,October
21,Reflections,October 19 1983,October
22,Black & White Seascape,October 26 1983,October
23,Lazy River,November 2 1983,November
24,Black Waterfall,November 9 1983,November
25,Mountain Waterfall,November 16 1983,November
26,Final Grace,November 23 1983,November
27,Mountain Retreat,January 4 1984,January
28,Blue Moon,January 11 1984,January
29,Bubbling Stream,January 18 1984,January
30,Winter Night,January 25 1984,January
31,Distant Hills,February 1 1984,February
32,Covered Bridge,February 8 1984,February
33,Quiet Inlet,February 15 1984,February
34,Night Light,February 22 1984,February
35,The Old Mill,March 1 1984,March
36,Campfire,March 8 1984,March
37,Rustic Barn,March 15 1984,March
38,Hidden Lake,March 22 1984,March
39,Peaceful Waters,March 29 1984,March
40,Purple Splendor,September 5 1984,September
41,Tranquil Valley,September 12 1984,September
42,Majestic Mountains,September 19 1984,September
43,Winter Sawscape,September 26 1984,September
44,Evening Seascape,October 3 1984,October
45,Warm Summer Day,October 10 1984,October
46,Cabin in the Woods,October 17 1984,October
47,Wetlands,October 24 1984,October
48,Cool Waters,October 31 1984,October
49,Quiet Woods,November 7 1984,November
50,Northwest Majesty,November 14 1984,November
51,Autumn Days,November 21 1984,November
52,Mountain Challenge,November 28 1984,November
53,Mountain Waterfall,January 2 1985,January
54,Twilight Meadow,January 9 1985,January
55,Mountain Blossoms,January 16 1985,January
56,Winter Stillness,January 23 1985,January
57,Quiet Pond,January 30 1985,January
58,Ocean Sunrise,February 6 1985,February
59,Bubbling Brook,February 13 1985,February
60,Arizona Splendor,February 20 1985,February
61,Anatomy of a Wave,February 27 1985,February
62,The Windmill,March 6 1985,March
63,Autumn Glory,March 13 1985,March
64,Indian Girl,March 20 1985,March
65,Meadow Stream,March 27 1985,March
66,Blue River,May 1 1985,May
67,Nature's Edge,May 8 1985,May
68,Morning Mist,May 15 1985,May
69,Whispering Stream,May 22 1985,May
70,Secluded Forest,May 29 1985,May
71,Snow Trail,June 5 1985,June
72,Arctic Beauty,June 12 1985,June
73,Horizons West,June 19 1985,June
74,High Chateau,June 26 1985,June
75,Country Life,July 2 1985,July
76,Western Expanse,July 9 1985,July
77,Marshlands,July 16 1985,July
78,Blaze of Color,July 23 1985,July
79,Winter Cabin,October 2 1985,October
80,Secluded Lake,October 9 1985,October
81,Evergreen at Sunset,October 16 1985,October
82,Mountain Cabin,October 23 1985,October
83,Portrait of Sally,October 30 1985,October
84,Misty Waterfall,November 6 1985,November
85,Barn at Sunset,November 13 1985,November
86,Mountain Splendor,November 20 1985,November
87,Lake by Mountain,November 27 1985,November
88,Mountain Glory,December 6 1985,December
89,Grey Winter,December 13 1985,December
90,Dock Scene,December 20 1985,December
91,Dark Waterfall,December 27 1985,December
92,Misty Rolling Hills,January 2 1986,January
93,Lakeside Cabin,January 9 1986,January
94,Warm Winter Day,January 16 1986,January
95,Waterside Way,January 23 1986,January
96,Hunter's Haven,January 30 1986,January
97,Bubbling Mountain Brook,February 6 1986,February
98,Winter Hideaway,February 13 1986,February
99,Foot of the Mountain,February 20 1986,February
100,Majestic Pine,February 27 1986,February
101,Cactus at Sunset,March 6 1986,March
102,Mountain Range,March 13 1986,March
103,Lonely Retreat,March 20 1986,March
104,Northern Lights,March 27 1986,March
105,Winter Evergreens,April 30 1986,April
106,Surf's Up,May 7 1986,May
107,Red Sunset,May 14 1986,May
108,Meadow Road,May 21 1986,May
109,Winter Oval,May 28 1986,May
110,Secluded Beach,June 4 1986,June
111,Forest Hills,June 11 1986,June
112,Little House by the Road,June 18 1986,June
113,Mountain Pass,June 25 1986,June
114,Country Charm,July 2 1986,July
115,Nature's Paradise,July 9 1986,July
116,Mountain by the Sea,July 16 1986,July
117,Mountain Hideaway,July 23 1986,July
118,Towering Peaks,September 3 1986,September
119,Cabin at Sunset,September 10 1986,September
120,Twin Falls,September 17 1986,September
121,Secluded Bridge,September 24 1986,September
122,Ocean Breeze,October 1 1986,October
123,Autumn Woods,October 8 1986,October
124,Winter Solitude,October 15 1986,October
125,Golden Sunset,October 22 1986,October
126,Mountain Oval,October 29 1986,October
127,Ocean Sunset,November 5 1986,November
128,Triple View,November 12 1986,November
129,Winter Frost,November 19 1986,November
130,Lakeside Cabin,November 26 1986,November
131,Mountain Stream,December 31 1986,December
132,Country Cabin,January 7 1987,January
133,Daisy Delight,January 14 1987,January
134,Hidden Stream,January 21 1987,January
135,Towering Glacier,January 28 1987,January
136,Oval Barn,February 4 1987,February
137,Lakeside Path,February 11 1987,February
138,Sunset Oval,February 18 1987,February
139,Winter Barn,February 25 1987,February
140,Sunset Over the Waves,March 4 1987,March
141,Golden Glow,March 11 1987,March
142,Roadside Barn,March 18 1987,March
143,Happy Accident,March 25 1987,March
144,Golden Knoll,April 29 1987,April
145,Mountain Reflections,May 6 1987,May
146,Secluded Mountain,May 13 1987,May
147,Bright Autumn Trees,May 20 1987,May
148,Black Seascape,May 27 1987,May
149,Steep Mountains,June 3 1987,June
150,Quiet Mountain River,June 10 1987,June
151,Evening Waterfall,June 17 1987,June
152,Tropical Seascape,June 24 1987,June
153,Mountain at Sunset,July 1 1987,July
154,Soft Mountain Glow,July 8 1987,July
155,Mountain in an Oval,July 15 1987,July
156,Winter Mountain,July 22 1987,July
157,Rolling Hills,September 2 1987,September
158,Frozen Solitude,September 9 1987,September
159,Meadow Brook,September 16 1987,September
160,Evening Sunset,September 23 1987,September
161,Mountain View,September 30 1987,September
162,Hidden Creek,October 7 1987,October
163,Peaceful Haven,October 14 1987,October
164,Mountain Exhibition,October 21 1987,October
165,Emerald Waters,October 28 1987,October
166,Mountain Summit,November 4 1987,November
167,Cabin Hideaway,November 11 1987,November
168,Oval Essence,November 18 1987,November
169,Lost Lake,November 25 1987,November
170,Distant Mountains,December 30 1987,December
171,Meadow Brook Surprise,January 6 1988,January
172,Mountain Moonlight Oval,January 13 1988,January
173,Snowy Solitude,January 20 1988,January
174,Mountain River,January 27 1988,January
175,Graceful Mountains,February 3 1988,February
176,Windy Waves,February 10 1988,February
177,On a Clear Day,February 17 1988,February
178,Riverside Escape Oval,February 24 1988,February
179,Surprising Falls,March 2 1988,March
180,Shadow Pond,March 9 1988,March
181,Misty Forest,March 16 1988,March
182,Natural Wonder,March 23 1988,March
183,Splendor of Winter,April 27 1988,April
184,Colors of Nature,May 4 1988,May
185,Grandpa's Barn,May 11 1988,May
186,Peaceful Reflections,May 18 1988,May
187,Hidden Winter Moon Oval,May 25 1988,May
188,Waves of Wonder,June 1 1988,June
189,Cabin by the Pond,June 8 1988,June
190,Fall Stream,June 15 1988,June
191,Christmas Eve Snow,June 22 1988,June
192,Forest Dawn Oval,June 29 1988,June
193,Pathway to Autumn,July 6 1988,July
194,Deep Forest Lake,July 13 1988,July
195,Peaks of Majesty,July 20 1988,July
196,Two Seasons,August 17 1988,August
197,Nestled Cabin,August 24 1988,August
198,Wintertime Discovery,August 31 1988,August
199,Mountain Mirage,September 7 1988,September
200,Double Oval Fantasy,September 14 1988,September
201,Contemplative Lady,September 21 1988,September
202,Deep Woods,September 28 1988,September
203,High Tide,October 5 1988,October
204,Barn in Snow Oval,October 12 1988,October
205,That Time of Year,October 19 1988,October
206,Waterfall Wonder,October 26 1988,October
207,Mighty Mountain Lake,November 2 1988,November
208,Wooded Stream Oval,November 9 1988,November
209,Golden Mist Oval,January 4 1989,January
210,Old Place Home,January 11 1989,January
211,Soothing Vista,January 18 1989,January
212,Stormy Seas,January 25 1989,January
213,Country Time,February 1 1989,February
214,A Mild Winter's Day,February 8 1989,February
215,Spectacular Waterfall,February 15 1989,February
216,View From the Park,February 22 1989,February
217,Lake View,March 1 1989,March
218,Old Country Mill,March 8 1989,March
219,Morning Walk,March 15 1989,March
220,Nature's Splendor,March 22 1989,March
221,Mountain Beauty,March 29 1989,March
222,Half Oval Vignette,July 5 1989,July
223,Absolutely Autumn,July 12 1989,July
224,Mountain Seclusion,July 19 1989,July
225,Crimson Oval,July 26 1989,July
226,Autumn Exhibition,August 2 1989,August
227,Majestic Peaks,August 9 1989,August
228,Golden Morning Mist,August 16 1989,August
229,Winter Lace,August 23 1989,August
230,Seascape Fantasy,August 30 1989,August
231,Double Oval Stream,September 6 1989,September
232,Enchanted Forest,September 13 1989,September
233,Southwest Serenity,September 20 1989,September
234,Rippling Waters,September 27 1989,September
235,Snowfall Magic,January 3 1990,January
236,Quiet Mountain Lake,January 10 1990,January
237,Final Embers of Sunlight,January 17 1990,January
238,Snowy Morn,January 24 1990,January
239,Camper's Haven,January 31 1990,January
240,Waterfall in the Woods,February 7 1990,February
241,Covered Bridge Oval,February 14 1990,February
242,Scenic Seclusion,February 21 1990,February
243,Ebb Tide,February 28 1990,February
244,After the Rain,March 7 1990,March
245,Winter Elegance,March 14 1990,March
246,Evening's Peace,March 21 1990,March
247,Valley of Tranquility,March 28 1990,March
248,Mystic Mountain,April 4 1990,April
249,New Day's Dawn,April 11 1990,April
250,Pastel Winter,April 18 1990,April
251,Hazy Day,April 25 1990,April
252,Divine Elegance,May 2 1990,May
253,Cliffside,May 9 1990,May
254,Autumn Fantasy,May 16 1990,May
255,Old Oak Tree,May 23 1990,May
256,Winter Paradise,May 30 1990,May
257,Days Gone By,June 6 1990,June
258,Change of Seasons,June 13 1990,June
259,Hidden Delight,June 20 1990,June
260,Double Take,June 27 1990,June
261,Valley View,September 5 1990,September
262,Tranquil Dawn,September 12 1990,September
263,Royal Majesty,September 19 1990,September
264,Serenity,September 26 1990,September
265,Cabin at Trial's End,October 3 1990,October
266,Mountain Rhapsody,October 10 1990,October
267,Wilderness Cabin,October 17 1990,October
268,By the Sea,October 24 1990,October
269,Indian Summer,October 31 1990,October
270,Blue Winter,November 7 1990,November
271,Desert Glow,November 14 1990,November
272,Lone Mountain,November 21 1990,November
273,Florida's Glory,November 28 1990,November
274,Autumn Images,January 1 1991,January
275,Hint of Springtime,January 8 1991,January
276,Around the Bend,January 15 1991,January
