episode_id,subject_id
1,"{8,17,28,49,59,60}"
2,"{9,14,15,38,52,53,59,60,66}"
3,"{9,15,22,38,39,56,57,59,60,66}"
4,"{8,14,15,33,38,53,59,60}"
5,"{17,49,50,59,60}"
6,"{9,15,33,37,38,39,40,52,53,56,59,60,66}"
7,"{17,33,38,39,53,59,60}"
8,"{8,15,33,38,39,59,60}"
9,"{4,14,22,41}"
10,"{8,15,17,33,38,59,60}"
11,"{17,33,59,60}"
12,"{12,14,15,33,38,39,53,59,60}"
13,"{8,15,17,28,38,53,59,60}"
14,"{8,15,16,17,28,33,38,53,59,60}"
15,"{15,33,52,57,59,60}"
16,"{14,16,17,41,57,59,60,63}"
17,"{8,9,14,15,16,17,33,38,39,52,53,56,59,60}"
18,"{8,17,28,33,59,60}"
19,"{8,14,16,17,28,49,59,60}"
20,"{14,15,16,28,33,38,39,59,60}"
21,"{8,12,14,15,33,38,53,59,60}"
22,"{12,16,17,41,50,57,59,60,63}"
23,"{17,28,49,59,60}"
24,"{8,14,15,16,17,28,49,50,59,60,62}"
25,"{17,28,33,38,39,53,59,60,62}"
26,"{8,14,15,16,33,38,39,53,59,60}"
27,"{8,9,15,17,33,38,39,56,59,60}"
28,"{14,16,37,40,41,43,59,60,63}"
29,"{17,28,49,50,59,60}"
30,"{9,15,52,56,59,60,66}"
31,"{12,14,15,17,32,33,38,39,59,60}"
32,"{6,17,44,56,59,60}"
33,"{17,33,38,39,59,60}"
34,"{13,14,16,35,40,41,56,63}"
35,"{8,9,14,16,17,36,49,56,59,60}"
36,"{8,17,23,33,45,59,60}"
37,"{3,17,22,33,56,59,60}"
38,"{8,15,17,33,38,39,59,60}"
39,"{14,15,16,17,29,33,38,53,55,59,60}"
40,"{9,15,33,52,56,59,60,66}"
41,"{8,14,16,17,28,33,38,39,59,60}"
42,"{8,15,28,38,39,53,59,60}"
43,"{9,11,14,15,16,17,27,29,33,52,56,59,60,66}"
44,"{4,13,14,15,16,41,50,59,60,63}"
45,"{8,17,33,59,60}"
46,"{9,17,28,44,56,59,60}"
47,"{15,17,28,33,59,60}"
48,"{8,14,15,33,38,39,53,59,60}"
49,"{8,15,28,49,59,60}"
50,"{14,15,16,18,29,38,39,53,59,60}"
51,"{17,28,32,33,59,60}"
52,"{15,28,33,38,53,59}"
53,"{8,14,15,16,33,38,39,53,59,60,62}"
54,"{14,16,17,28,33,59,60}"
55,"{15,25,29,38,39,52,53,59,60}"
56,"{15,17,33,52,59,60,66}"
57,"{17,28,33,59,60}"
58,"{14,28,29,41,57}"
59,"{17,28,49,50,59,60}"
60,"{17,28,38,39,49,59,60}"
61,"{29,41,63}"
62,"{3,14,17,44,56,59,64}"
63,"{8,14,16,17,28,33,38,50,53,59,60}"
64,"{29,46}"
65,"{3,14,17,28,49,50,56,59,60}"
66,"{8,15,17,28,32,49,59,60}"
67,"{8,9,14,17,26,28,33,56,59,60}"
